Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,c000czu9,5,"Tuesday, October  2, 2012 19:41:29 UTC",-65.0079,177.9260,5.3,16.60,54,"Balleny Islands region"
ci,15223785,0,"Tuesday, October  2, 2012 19:40:36 UTC",32.7980,-116.1550,1.7,7.60,43,"Southern California"
nc,71851365,2,"Tuesday, October  2, 2012 19:38:06 UTC",37.3268,-122.1057,1.4,0.00,14,"San Francisco Bay area, California"
ci,15223777,0,"Tuesday, October  2, 2012 19:34:46 UTC",32.5973,-116.9838,1.5,1.40,26,"San Diego County urban area, California"
ak,10568630,1,"Tuesday, October  2, 2012 19:24:32 UTC",63.4754,-146.8084,1.5,13.40, 6,"Central Alaska"
nn,00390067,9,"Tuesday, October  2, 2012 19:20:47 UTC",38.6413,-117.1572,1.2,0.70, 7,"Nevada"
pr,12276004,0,"Tuesday, October  2, 2012 19:17:14 UTC",19.6618,-64.2731,3.4,56.00, 9,"Virgin Islands region"
us,c000czsg,5,"Tuesday, October  2, 2012 19:16:01 UTC",37.1420,71.8125,4.8,138.90,122,"Tajikistan"
ak,10568623,1,"Tuesday, October  2, 2012 19:16:00 UTC",60.6893,-151.7058,1.6,79.00,12,"Kenai Peninsula, Alaska"
pr,12276006,0,"Tuesday, October  2, 2012 19:15:19 UTC",19.7322,-64.2496,3.4,48.00, 4,"Virgin Islands region"
ak,10568614,1,"Tuesday, October  2, 2012 18:57:09 UTC",63.4748,-146.5194,1.5,12.70, 8,"Central Alaska"
ci,15223769,0,"Tuesday, October  2, 2012 18:53:06 UTC",33.3628,-116.3187,1.3,0.10,39,"Southern California"
ci,15223761,0,"Tuesday, October  2, 2012 18:52:53 UTC",33.2783,-116.3653,1.5,24.80,58,"Southern California"
ci,15223753,0,"Tuesday, October  2, 2012 18:50:54 UTC",34.0913,-117.4848,1.4,2.90,43,"Greater Los Angeles area, California"
ci,15223745,0,"Tuesday, October  2, 2012 18:49:39 UTC",34.2462,-116.5418,1.5,10.30,15,"Southern California"
ci,15223737,0,"Tuesday, October  2, 2012 18:48:03 UTC",32.8045,-116.1433,1.3,10.80,23,"Southern California"
uw,60471616,2,"Tuesday, October  2, 2012 18:46:18 UTC",46.6765,-122.3265,1.1,12.50,33,"Washington"
ci,15223729,0,"Tuesday, October  2, 2012 18:39:58 UTC",33.6832,-117.6097,1.9,8.30,12,"Greater Los Angeles area, California"
us,c000czr6,8,"Tuesday, October  2, 2012 18:39:08 UTC",-20.6067,-174.2287,5.0,3.10,114,"Tonga"
us,c000czqj,8,"Tuesday, October  2, 2012 18:37:40 UTC",26.8469,92.7878,5.1,51.60,163,"Assam, India"
us,c000czq2,8,"Tuesday, October  2, 2012 18:23:16 UTC",-6.0706,146.2477,4.9,118.10,97,"eastern New Guinea region, Papua New Guinea"
ak,10568587,1,"Tuesday, October  2, 2012 18:21:58 UTC",62.7668,-148.9431,1.7,46.00,11,"Central Alaska"
nc,71851325,0,"Tuesday, October  2, 2012 18:21:40 UTC",38.8442,-122.7718,1.0,1.70, 7,"Northern California"
nc,71851315,3,"Tuesday, October  2, 2012 18:12:00 UTC",37.4215,-118.6207,2.4,11.10,37,"Central California"
ak,10568579,1,"Tuesday, October  2, 2012 18:07:51 UTC",63.1310,-144.4594,1.8,5.50,10,"Central Alaska"
us,c000czn9,6,"Tuesday, October  2, 2012 17:50:19 UTC",-27.4984,-68.9451,4.4,79.60,36,"Catamarca, Argentina"
us,c000czmx,8,"Tuesday, October  2, 2012 17:37:24 UTC",-2.8761,101.9309,5.2,116.60,320,"southern Sumatra, Indonesia"
ci,15223705,0,"Tuesday, October  2, 2012 17:28:04 UTC",34.1815,-117.6535,1.6,13.40,30,"Greater Los Angeles area, California"
us,c000czmh,7,"Tuesday, October  2, 2012 17:24:58 UTC",-6.3362,130.2856,4.8,135.20,52,"Banda Sea"
nc,71851295,0,"Tuesday, October  2, 2012 17:21:21 UTC",37.5542,-118.8240,1.5,11.00,20,"Central California"
hv,60407556,2,"Tuesday, October  2, 2012 17:09:02 UTC",19.0347,-155.4323,2.2,41.20,35,"Island of Hawaii, Hawaii"
uw,60471536,1,"Tuesday, October  2, 2012 17:02:55 UTC",49.3307,-120.5088,1.5,0.00, 4,"British Columbia, Canada"
nc,71851280,3,"Tuesday, October  2, 2012 16:53:29 UTC",38.8112,-122.7888,2.1,3.60,53,"Northern California"
nc,71851275,0,"Tuesday, October  2, 2012 16:51:22 UTC",38.8218,-122.8007,1.1,3.40,20,"Northern California"
pr,12276005,0,"Tuesday, October  2, 2012 16:46:50 UTC",19.4575,-64.2751,3.4,8.00, 3,"Virgin Islands region"
ak,10568548,1,"Tuesday, October  2, 2012 16:41:58 UTC",63.0393,-149.2352,1.2,7.40, 7,"Central Alaska"
ci,15223665,0,"Tuesday, October  2, 2012 16:19:13 UTC",33.7622,-116.0462,1.4,4.70,58,"Southern California"
ak,10568524,1,"Tuesday, October  2, 2012 15:56:40 UTC",60.3075,-146.3340,1.3,22.30, 6,"Southern Alaska"
nc,71851220,0,"Tuesday, October  2, 2012 15:48:05 UTC",38.8063,-122.7953,1.0,2.70,15,"Northern California"
ak,10568516,2,"Tuesday, October  2, 2012 15:45:02 UTC",51.6519,178.5115,2.3,73.10,12,"Rat Islands, Aleutian Islands, Alaska"
us,2012gfay,6,"Tuesday, October  2, 2012 14:55:30 UTC",-3.6320,101.4762,4.5,57.50,39,"southern Sumatra, Indonesia"
ci,15223641,0,"Tuesday, October  2, 2012 14:54:53 UTC",36.2342,-118.3218,1.9,5.00,19,"Central California"
ak,10568505,1,"Tuesday, October  2, 2012 14:54:02 UTC",63.6970,-148.2934,1.6,80.60,11,"Central Alaska"
ak,10568500,1,"Tuesday, October  2, 2012 14:35:35 UTC",60.0349,-152.1957,1.8,52.50,13,"Southern Alaska"
ci,15223617,0,"Tuesday, October  2, 2012 14:30:12 UTC",33.9583,-116.7030,1.2,16.60,50,"Southern California"
ak,10568491,1,"Tuesday, October  2, 2012 14:07:25 UTC",60.0454,-141.2091,1.6,2.00,15,"Southern Alaska"
ci,15223609,0,"Tuesday, October  2, 2012 13:50:46 UTC",33.1530,-116.9088,1.7,29.90,11,"Southern California"
pr,12276003,0,"Tuesday, October  2, 2012 13:28:07 UTC",19.4759,-64.1641,3.5,85.00, 6,"Virgin Islands region"
ci,15223577,0,"Tuesday, October  2, 2012 12:46:17 UTC",32.8005,-116.1542,2.0,4.40,87,"Southern California"
ci,15223569,0,"Tuesday, October  2, 2012 12:35:58 UTC",32.8115,-116.1380,1.6,8.40,21,"Southern California"
ci,15223553,0,"Tuesday, October  2, 2012 12:20:02 UTC",32.8108,-116.1417,1.6,8.80,25,"Southern California"
ak,10568481,1,"Tuesday, October  2, 2012 12:16:22 UTC",60.1336,-141.3198,1.2,0.00, 8,"Southern Alaska"
nc,71851185,2,"Tuesday, October  2, 2012 12:11:27 UTC",39.6417,-122.3172,1.9,34.00,18,"Northern California"
pr,12276002,0,"Tuesday, October  2, 2012 12:05:12 UTC",19.6655,-64.2350,3.2,55.00, 4,"Virgin Islands region"
ak,10568475,1,"Tuesday, October  2, 2012 12:02:26 UTC",64.8415,-150.0260,1.6,18.10,12,"Central Alaska"
ak,10568469,1,"Tuesday, October  2, 2012 11:43:14 UTC",62.6207,-151.2715,1.7,68.70,10,"Central Alaska"
us,c000czf8,6,"Tuesday, October  2, 2012 11:37:53 UTC",39.7740,143.2426,4.7,29.80,49,"off the east coast of Honshu, Japan"
us,c000czf7,9,"Tuesday, October  2, 2012 11:35:51 UTC",-21.1088,-174.4741,5.1,34.70,216,"Tonga"
ak,10568461,2,"Tuesday, October  2, 2012 11:24:07 UTC",59.9892,-153.1743,2.2,116.00,34,"Southern Alaska"
nn,00390044,9,"Tuesday, October  2, 2012 10:47:49 UTC",36.7585,-115.4534,1.1,5.50, 9,"Nevada"
ci,15223505,0,"Tuesday, October  2, 2012 10:02:22 UTC",32.8002,-116.1545,2.6,6.60,126,"Southern California"
nc,71851140,2,"Tuesday, October  2, 2012 09:43:56 UTC",37.3548,-119.0177,1.1,9.00,10,"Central California"
ci,15223489,0,"Tuesday, October  2, 2012 09:33:51 UTC",32.7990,-116.1608,2.4,8.00,118,"Southern California"
ci,15223481,2,"Tuesday, October  2, 2012 09:25:07 UTC",32.8037,-116.1370,1.1,10.20,34,"Southern California"
ci,15223473,2,"Tuesday, October  2, 2012 09:18:29 UTC",32.8000,-116.1442,1.5,9.30,57,"Southern California"
ci,15223465,2,"Tuesday, October  2, 2012 09:10:17 UTC",32.8062,-116.1368,1.1,10.10,32,"Southern California"
nc,71851135,1,"Tuesday, October  2, 2012 09:09:35 UTC",36.8600,-121.4157,1.7,5.90,30,"Central California"
pr,12276001,0,"Tuesday, October  2, 2012 09:08:10 UTC",18.2162,-68.1751,3.4,125.00,10,"Mona Passage, Dominican Republic"
ci,15223449,2,"Tuesday, October  2, 2012 08:47:42 UTC",32.8050,-116.1372,1.0,10.30,34,"Southern California"
us,c000czf5,5,"Tuesday, October  2, 2012 08:43:35 UTC",37.5584,72.3207,4.4,190.10,25,"Tajikistan"
ci,15223441,2,"Tuesday, October  2, 2012 08:41:48 UTC",33.7707,-116.9465,1.0,16.20,68,"Southern California"
ci,15223433,2,"Tuesday, October  2, 2012 08:40:56 UTC",32.8037,-116.1375,1.1,9.60,36,"Southern California"
us,c000czcu,8,"Tuesday, October  2, 2012 08:34:54 UTC",32.4607,76.6405,4.8,12.60,42,"Himachal Pradesh, India"
ci,15223417,8,"Tuesday, October  2, 2012 08:28:14 UTC",32.8047,-116.1438,4.1,10.50,139,"Southern California"
ci,15223393,2,"Tuesday, October  2, 2012 08:01:46 UTC",36.2180,-118.3227,1.9,5.80,43,"Central California"
uw,60471286,1,"Tuesday, October  2, 2012 07:49:57 UTC",47.6780,-120.3310,1.8,0.90,10,"Washington"
ak,10568423,2,"Tuesday, October  2, 2012 07:16:10 UTC",50.2514,179.1827,2.7,30.20,20,"Rat Islands, Aleutian Islands, Alaska"
ak,10568422,1,"Tuesday, October  2, 2012 07:14:12 UTC",61.4305,-146.9130,1.3,30.30, 6,"Southern Alaska"
ak,10568418,1,"Tuesday, October  2, 2012 07:03:57 UTC",60.6965,-150.4984,1.5,48.80,10,"Kenai Peninsula, Alaska"
nn,00390037,9,"Tuesday, October  2, 2012 06:43:53 UTC",37.2520,-115.4809,1.5,0.00, 6,"Nevada"
ak,10568409,1,"Tuesday, October  2, 2012 06:34:25 UTC",62.1515,-150.8357,1.9,58.00,22,"Central Alaska"
nn,00390036,9,"Tuesday, October  2, 2012 06:31:42 UTC",36.7449,-115.5400,1.1,0.00, 8,"Nevada"
us,c000czbr,6,"Tuesday, October  2, 2012 06:25:31 UTC",8.2931,123.3140,5.1,41.10,60,"Mindanao, Philippines"
nc,71851095,1,"Tuesday, October  2, 2012 06:15:05 UTC",37.6307,-122.4877,1.9,8.40,24,"San Francisco Bay area, California"
ci,15223385,2,"Tuesday, October  2, 2012 05:43:35 UTC",36.2243,-118.3232,1.3,6.20,24,"Central California"
ci,15223377,2,"Tuesday, October  2, 2012 05:43:28 UTC",34.2155,-117.0903,2.5,5.90,162,"Southern California"
ci,15223369,2,"Tuesday, October  2, 2012 05:41:13 UTC",35.9292,-117.6808,1.7,2.20,52,"Central California"
ak,10568392,1,"Tuesday, October  2, 2012 05:27:01 UTC",63.2826,-151.3304,1.1,7.60, 6,"Central Alaska"
ak,10568388,2,"Tuesday, October  2, 2012 04:41:36 UTC",52.0384,176.3347,3.2,46.00, 9,"Rat Islands, Aleutian Islands, Alaska"
nm,100312b,A,"Tuesday, October  2, 2012 04:30:28 UTC",36.4873,-89.5507,1.3,9.60,11,"southeastern Missouri"
us,c000czb9,3,"Tuesday, October  2, 2012 04:21:02 UTC",52.4730,173.3980,4.2,49.50,47,"Near Islands, Aleutian Islands, Alaska"
ak,10568381,2,"Tuesday, October  2, 2012 04:12:32 UTC",52.0943,176.4225,2.8,50.00, 9,"Rat Islands, Aleutian Islands, Alaska"
nc,71851045,0,"Tuesday, October  2, 2012 04:03:41 UTC",38.8135,-122.8265,1.0,2.00,14,"Northern California"
ak,10568375,1,"Tuesday, October  2, 2012 04:01:57 UTC",60.1811,-141.3383,1.5,1.60,12,"Southern Alaska"
uw,60471211,1,"Tuesday, October  2, 2012 03:54:40 UTC",41.5428,-124.9193,2.4,15.30, 9,"offshore Northern California"
us,c000cza6,6,"Tuesday, October  2, 2012 03:33:30 UTC",-18.8196,-174.8360,5.3,96.70,101,"Tonga"
ci,15223249,3,"Tuesday, October  2, 2012 03:20:53 UTC",36.2200,-118.3178,3.1,5.50,50,"Central California"
us,c000cz9z,7,"Tuesday, October  2, 2012 03:17:11 UTC",45.8967,142.6849,4.2,342.60,119,"Hokkaido, Japan region"
ak,10568355,1,"Tuesday, October  2, 2012 03:14:04 UTC",59.8182,-150.5190,2.5,60.30,38,"Kenai Peninsula, Alaska"
pr,12276000,0,"Tuesday, October  2, 2012 03:05:46 UTC",18.5130,-67.3677,3.1,19.00,17,"Mona Passage, Puerto Rico"
nc,71851000,3,"Tuesday, October  2, 2012 02:56:59 UTC",40.3288,-125.4315,2.8,6.40,33,"offshore Northern California"
nc,71850990,1,"Tuesday, October  2, 2012 02:55:04 UTC",38.7743,-122.7138,1.5,2.30,21,"Northern California"
ak,10568348,1,"Tuesday, October  2, 2012 02:53:20 UTC",56.9648,-156.6912,2.3,42.20, 5,"Alaska Peninsula"
ak,10568344,2,"Tuesday, October  2, 2012 02:38:32 UTC",51.5585,-178.0307,2.6,4.80,17,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71850970,0,"Tuesday, October  2, 2012 02:33:01 UTC",37.5308,-118.8223,1.3,6.20,19,"Central California"
nn,00390024,9,"Tuesday, October  2, 2012 02:14:45 UTC",36.3551,-115.4208,1.7,8.00,14,"Nevada"
us,c000cz9d,7,"Tuesday, October  2, 2012 01:51:39 UTC",39.6004,143.4240,4.8,33.20,48,"off the east coast of Honshu, Japan"
nc,71850960,3,"Tuesday, October  2, 2012 01:39:42 UTC",39.0052,-123.3243,1.5,5.00,15,"Northern California"
ak,10568321,1,"Tuesday, October  2, 2012 01:32:38 UTC",60.3656,-142.0893,1.5,9.20,12,"Southern Alaska"
uw,60471186,2,"Tuesday, October  2, 2012 01:28:17 UTC",47.5758,-122.6587,1.0,15.30,22,"Seattle-Tacoma urban area, Washington"
us,c000cz99,7,"Tuesday, October  2, 2012 01:10:45 UTC",36.2065,140.9372,4.6,17.70,56,"near the east coast of Honshu, Japan"
hv,60407291,2,"Tuesday, October  2, 2012 01:00:42 UTC",19.3867,-155.2958,1.8,0.80, 9,"Island of Hawaii, Hawaii"
ak,10568285,1,"Tuesday, October  2, 2012 00:12:48 UTC",63.5557,-150.8836,1.0,12.50, 5,"Central Alaska"
nc,71850930,1,"Tuesday, October  2, 2012 00:05:26 UTC",38.8193,-122.7898,1.4,1.90,25,"Northern California"
ci,15223209,2,"Monday, October  1, 2012 23:56:08 UTC",36.2178,-118.3247,2.5,4.90,41,"Central California"
nc,71850915,1,"Monday, October  1, 2012 23:48:35 UTC",38.8280,-122.8023,1.6,2.60,34,"Northern California"
nc,71850920,0,"Monday, October  1, 2012 23:47:37 UTC",38.8283,-122.8012,1.1,2.50,19,"Northern California"
ak,10568268,1,"Monday, October  1, 2012 23:44:57 UTC",62.6926,-150.6076,1.5,15.20,13,"Central Alaska"
ci,15223201,2,"Monday, October  1, 2012 23:36:23 UTC",33.2148,-116.0863,1.8,8.20,70,"Southern California"
nc,71850905,1,"Monday, October  1, 2012 23:22:46 UTC",38.8150,-122.8028,1.6,2.10,32,"Northern California"
nc,71850900,0,"Monday, October  1, 2012 23:20:40 UTC",38.8395,-122.8283,1.0,2.70,20,"Northern California"
pr,12275008,0,"Monday, October  1, 2012 23:09:57 UTC",18.0135,-68.5316,3.2,83.00,13,"Dominican Republic region"
us,c000cz84,8,"Monday, October  1, 2012 22:55:51 UTC",39.7762,143.1891,5.1,37.90,234,"off the east coast of Honshu, Japan"
uu,60000192,6,"Monday, October  1, 2012 22:35:11 UTC",39.6287,-110.3818,1.4,0.70, 6,"Utah"
nc,71850870,1,"Monday, October  1, 2012 22:26:34 UTC",38.8215,-122.8115,1.8,3.30,36,"Northern California"
us,c000cz76,C,"Monday, October  1, 2012 22:21:45 UTC",39.8527,143.0466,6.2,9.70,498,"off the east coast of Honshu, Japan"
ak,10568200,1,"Monday, October  1, 2012 22:20:39 UTC",61.7445,-148.1873,2.0,0.00,21,"Southern Alaska"
ci,15223177,2,"Monday, October  1, 2012 22:15:00 UTC",33.8412,-117.4893,1.3,0.00,11,"Greater Los Angeles area, California"
nc,71850885,4,"Monday, October  1, 2012 22:14:32 UTC",36.8863,-121.6095,1.3,0.00,20,"Central California"
pr,12275007,0,"Monday, October  1, 2012 22:04:32 UTC",18.5734,-64.9469,2.8,33.00, 7,"Virgin Islands region"
ci,15223161,2,"Monday, October  1, 2012 21:37:32 UTC",33.0447,-116.4345,1.6,7.80,60,"Southern California"
ak,10568173,1,"Monday, October  1, 2012 21:36:54 UTC",60.5690,-145.2080,1.2,16.90, 5,"Southern Alaska"
uw,60471061,1,"Monday, October  1, 2012 21:34:18 UTC",48.1003,-121.9443,1.4,0.00,13,"Washington"
us,c000cz5e,8,"Monday, October  1, 2012 21:33:34 UTC",51.6341,-177.3755,4.4,10.20,72,"Andreanof Islands, Aleutian Islands, Alaska"
uw,60471051,1,"Monday, October  1, 2012 21:16:51 UTC",49.4425,-120.5132,2.6,0.00,19,"British Columbia, Canada"
ak,10568154,1,"Monday, October  1, 2012 21:14:06 UTC",63.9418,-148.8910,1.5,0.00,12,"Central Alaska"
ak,10568140,1,"Monday, October  1, 2012 21:02:44 UTC",60.4405,-150.8219,2.6,12.10,36,"Kenai Peninsula, Alaska"
nc,71850820,0,"Monday, October  1, 2012 21:02:39 UTC",38.8322,-122.7960,1.2,0.00,11,"Northern California"
ak,10568134,1,"Monday, October  1, 2012 20:53:35 UTC",62.7093,-148.2259,1.6,15.90,18,"Central Alaska"
ci,15223153,2,"Monday, October  1, 2012 20:28:07 UTC",35.9303,-117.6773,1.3,3.70,16,"Central California"
pr,12275006,0,"Monday, October  1, 2012 20:23:39 UTC",18.1959,-67.1526,2.3,22.00, 4,"Puerto Rico"
ci,15223137,2,"Monday, October  1, 2012 19:54:43 UTC",34.3868,-118.6285,2.1,2.90,68,"Greater Los Angeles area, California"
ak,10568111,1,"Monday, October  1, 2012 19:49:57 UTC",61.3555,-150.6637,2.0,43.30,29,"Southern Alaska"
ci,15223129,2,"Monday, October  1, 2012 19:29:02 UTC",36.0115,-117.8047,1.2,1.80,12,"Central California"
us,c000cyzp,6,"Monday, October  1, 2012 18:40:52 UTC",36.9590,141.0588,5.2,6.70,255,"near the east coast of Honshu, Japan"
ci,15223105,2,"Monday, October  1, 2012 18:37:49 UTC",35.0468,-117.6668,1.9,0.00,27,"Southern California"
nc,71850745,2,"Monday, October  1, 2012 18:35:54 UTC",39.1708,-123.1637,2.2,7.30,26,"Northern California"
ci,15223097,4,"Monday, October  1, 2012 18:06:58 UTC",35.9272,-117.1783,1.2,0.00,20,"Central California"
ci,15223089,2,"Monday, October  1, 2012 17:42:29 UTC",35.0477,-118.3248,1.8,0.00,25,"Southern California"
ak,10568052,1,"Monday, October  1, 2012 17:34:20 UTC",60.1032,-141.5479,1.3,16.50, 4,"Southern Alaska"
us,c000cyxp,8,"Monday, October  1, 2012 17:32:31 UTC",18.7126,-107.1508,5.1,21.30,342,"off the coast of Jalisco, Mexico"
ci,15223073,2,"Monday, October  1, 2012 17:29:41 UTC",33.6742,-116.7292,1.6,16.40,46,"Southern California"
us,c000cyxi,5,"Monday, October  1, 2012 17:24:42 UTC",-24.5879,-179.3799,5.0,461.80,36,"south of the Fiji Islands"
ak,10568029,1,"Monday, October  1, 2012 17:02:27 UTC",59.2015,-152.5149,2.3,73.40,21,"Southern Alaska"
uu,60000147,4,"Monday, October  1, 2012 16:51:31 UTC",39.1405,-111.6550,1.3,19.50,11,"Utah"
nc,71850685,4,"Monday, October  1, 2012 16:24:11 UTC",38.8263,-122.7983,2.0,3.50,86,"Northern California"
nc,71850680,3,"Monday, October  1, 2012 16:01:18 UTC",40.6078,-122.3813,1.6,23.50,14,"Northern California"
ak,10567977,1,"Monday, October  1, 2012 15:40:13 UTC",60.0365,-153.8437,2.3,203.90,15,"Southern Alaska"
nc,71850675,3,"Monday, October  1, 2012 15:15:51 UTC",37.9037,-120.5207,2.1,0.00,15,"Central California"
nc,71850665,3,"Monday, October  1, 2012 15:03:54 UTC",38.0378,-120.4075,1.8,0.00, 5,"Central California"
pr,12275004,0,"Monday, October  1, 2012 15:01:08 UTC",18.0421,-67.1536,2.6,11.00, 5,"Puerto Rico"
uu,60000127,2,"Monday, October  1, 2012 14:59:22 UTC",44.4507,-111.0330,1.5,6.00, 5,"Yellowstone National Park, Wyoming"
nc,71850655,0,"Monday, October  1, 2012 14:59:02 UTC",38.7607,-122.7413,1.2,2.60,19,"Northern California"
ak,10567967,1,"Monday, October  1, 2012 14:55:24 UTC",61.5711,-146.5277,1.5,19.30, 8,"Southern Alaska"
hv,60407061,1,"Monday, October  1, 2012 14:31:07 UTC",19.9243,-155.3887,2.2,37.50,31,"Island of Hawaii, Hawaii"
uu,60000101,2,"Monday, October  1, 2012 14:27:34 UTC",44.4455,-111.0510,1.4,6.00, 7,"Yellowstone National Park, Wyoming"
uu,60000096,2,"Monday, October  1, 2012 14:24:55 UTC",44.4598,-110.9865,1.1,6.00, 7,"Yellowstone National Park, Wyoming"
ak,10567952,2,"Monday, October  1, 2012 14:14:47 UTC",51.4844,-178.1351,2.8,5.20,20,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71850640,2,"Monday, October  1, 2012 14:03:49 UTC",36.7097,-121.3475,1.3,3.40,29,"Central California"
us,2012gean,3,"Monday, October  1, 2012 13:45:35 UTC",40.2228,63.8903,4.0,35.00,13,"western Uzbekistan"
us,2012geam,4,"Monday, October  1, 2012 13:25:59 UTC",-0.5536,97.4876,4.6,10.00,22,"Kepulauan Batu, Indonesia"
hv,60407046,3,"Monday, October  1, 2012 13:23:59 UTC",19.3813,-155.9060,3.0,12.50,45,"Island of Hawaii, Hawaii"
uw,60470671,1,"Monday, October  1, 2012 13:14:32 UTC",45.0577,-122.5142,1.5,13.30,20,"Oregon"
nc,71850620,4,"Monday, October  1, 2012 13:13:41 UTC",37.2833,-119.9752,1.0,3.10, 7,"Central California"
pr,12275005,0,"Monday, October  1, 2012 13:05:30 UTC",19.5678,-64.3759,2.9,5.00, 3,"Virgin Islands region"
us,c000cyts,4,"Monday, October  1, 2012 12:55:37 UTC",4.4013,127.1076,4.7,10.00,29,"Kepulauan Talaud, Indonesia"
ak,10567939,1,"Monday, October  1, 2012 12:46:24 UTC",63.2494,-151.3308,1.6,0.10,12,"Central Alaska"
nc,71850595,0,"Monday, October  1, 2012 12:25:19 UTC",38.8010,-122.8135,1.1,1.40,23,"Northern California"
hv,60407021,1,"Monday, October  1, 2012 12:03:30 UTC",19.2708,-155.3393,2.2,50.60,21,"Island of Hawaii, Hawaii"
ak,10567922,1,"Monday, October  1, 2012 11:57:48 UTC",58.8787,-154.9168,3.3,118.40,72,"Alaska Peninsula"
ci,15223041,2,"Monday, October  1, 2012 11:01:29 UTC",34.2762,-116.9263,1.6,5.00,71,"Southern California"
ci,15223033,2,"Monday, October  1, 2012 10:54:29 UTC",33.4035,-116.3382,1.9,15.30,55,"Southern California"
ak,10567916,1,"Monday, October  1, 2012 10:27:00 UTC",63.2773,-151.3060,1.3,11.60, 8,"Central Alaska"
nc,71850570,0,"Monday, October  1, 2012 10:16:11 UTC",38.8133,-122.8263,1.4,2.50,22,"Northern California"
nc,71850565,2,"Monday, October  1, 2012 10:14:08 UTC",40.0092,-122.0072,2.3,16.40,29,"Northern California"
pr,12275003,0,"Monday, October  1, 2012 09:56:03 UTC",19.6669,-64.3496,2.7,11.00, 3,"Virgin Islands region"
pr,12275002,0,"Monday, October  1, 2012 09:42:26 UTC",19.6448,-64.3937,3.2,11.00, 4,"Virgin Islands region"
nc,71850560,2,"Monday, October  1, 2012 09:39:14 UTC",37.2837,-121.6607,1.1,5.70,18,"Northern California"
nm,100112b,A,"Monday, October  1, 2012 09:29:12 UTC",36.5261,-89.6628,1.5,12.20,16,"southeastern Missouri"
ci,15223017,2,"Monday, October  1, 2012 09:19:16 UTC",33.4517,-116.4225,1.3,14.20,87,"Southern California"
us,c000cyrs,5,"Monday, October  1, 2012 08:43:52 UTC",38.5451,55.6028,4.6,22.80,47,"Turkmenistan"
ld,60020903,1,"Monday, October  1, 2012 08:35:41 UTC",45.1807,-73.7888,1.5,20.50,16,"St. Lawrence Valley region, Quebec, Canada"
nc,71850545,2,"Monday, October  1, 2012 08:30:22 UTC",36.4557,-121.0372,1.4,6.10,27,"Central California"
ak,10567896,1,"Monday, October  1, 2012 08:29:20 UTC",64.6614,-146.7473,1.6,5.70,11,"Central Alaska"
ak,10567890,1,"Monday, October  1, 2012 08:19:12 UTC",57.6967,-152.1526,2.3,28.30, 9,"Kodiak Island region, Alaska"
us,c000cyrj,4,"Monday, October  1, 2012 08:06:30 UTC",-30.7906,-71.2096,4.6,54.00,31,"Coquimbo, Chile"
nn,00389945,9,"Monday, October  1, 2012 07:53:24 UTC",36.9108,-116.7132,1.1,3.80,18,"Nevada"
nc,71850540,0,"Monday, October  1, 2012 07:49:19 UTC",38.8097,-122.8222,1.1,2.60,19,"Northern California"
ak,10567877,1,"Monday, October  1, 2012 07:40:44 UTC",60.9980,-150.7591,1.5,4.20, 9,"Kenai Peninsula, Alaska"
nc,71850535,4,"Monday, October  1, 2012 07:26:13 UTC",37.6537,-119.0203,1.1,3.20,28,"Long Valley area, California"
ak,10567870,1,"Monday, October  1, 2012 07:08:42 UTC",57.8190,-153.9589,1.9,28.10, 7,"Kodiak Island region, Alaska"
nc,71850520,0,"Monday, October  1, 2012 06:40:54 UTC",38.8210,-122.8048,1.0,2.40,20,"Northern California"
hv,60406916,1,"Monday, October  1, 2012 06:37:42 UTC",19.2592,-155.2465,1.8,31.10,16,"Island of Hawaii, Hawaii"
pr,12275001,0,"Monday, October  1, 2012 06:29:01 UTC",19.6166,-64.2545,3.2,58.00, 6,"Virgin Islands region"
nc,71850510,2,"Monday, October  1, 2012 06:20:07 UTC",36.0392,-120.5907,1.1,5.20,27,"Central California"
nc,71850505,3,"Monday, October  1, 2012 06:18:01 UTC",36.0362,-120.5960,2.0,4.80,80,"Central California"
ak,10567853,1,"Monday, October  1, 2012 06:16:32 UTC",64.0166,-148.1580,1.8,92.60,26,"Central Alaska"
nc,71065544,2,"Monday, October  1, 2012 06:13:39 UTC",37.6355,-119.0405,1.0,3.50,12,"Long Valley area, California"
nc,71850495,4,"Monday, October  1, 2012 06:12:34 UTC",37.6335,-119.0373,1.7,3.20,10,"Long Valley area, California"
ak,10567848,1,"Monday, October  1, 2012 06:11:13 UTC",62.1050,-151.0001,1.6,61.50,17,"Central Alaska"
pr,12275000,0,"Monday, October  1, 2012 06:08:39 UTC",19.7597,-64.3052,3.2,20.00, 7,"north of the Virgin Islands"
ci,15222977,4,"Monday, October  1, 2012 05:59:21 UTC",33.6717,-116.7270,1.3,15.40,41,"Southern California"
hv,60406881,1,"Monday, October  1, 2012 05:46:15 UTC",19.3807,-155.2838,1.8,2.60,14,"Island of Hawaii, Hawaii"
us,c000cyql,8,"Monday, October  1, 2012 05:17:57 UTC",35.9564,141.3594,4.8,42.40,222,"near the east coast of Honshu, Japan"
uu,60000082,7,"Monday, October  1, 2012 04:57:41 UTC",39.7045,-110.7222,1.9,3.00,13,"Utah"
